8450	208500
9600	181500
11250	223500
9550	140000
14260	250000
14115	143000
10084	307000
10382	200000
6120	129900
7420	118000
11200	129500
11924	345000
12968	144000
10652	279500
10920	157000
6120	132000
11241	149000
10791	90000
13695	159000
7560	139000
14215	325300
7449	139400
9742	230000
4224	129900
8246	154000
14230	256300
7200	134800
11478	306000
16321	207500
6324	68500
8500	40000
8544	149350
11049	179900
10552	165500
7313	277500
13418	309000
10859	145000
8532	153000
7922	109000
6040	82000
8658	160000
16905	170000
9180	144000
9200	130250
7945	141000
7658	319900
12822	239686
11096	249700
4456	113000
7742	127000
13869	177000
6240	114500
8472	110000
50271	385000
7134	130000
10175	180500
2645	172500
11645	196500
13682	438780
7200	124900
13072	158000
7200	101000
6442	202500
10300	140000
9375	219500
9591	317000
19900	180000
10665	226000
4608	80000
15593	225000
13651	244000
7599	129500
10141	185000
10200	144900
5790	107400
1596	91000
8475	135750
8635	127000
10778	136500
10440	110000
13000	193500
4500	153500
10206	245000
8892	126500
8530	168500
16059	260000
11911	174000
3951	164500
8470	85000
8070	123600
7200	109900
8500	98600
13360	163500
7200	133900
9337	204750
9765	185000
10264	214000
10921	94750
10625	83000
9320	128950
